Date,Open,High,Low,Close,Adj Close,Volume
2001-01-02,84.5,87.5,84.125,84.8125,61.938648,8007200
2001-01-03,83.75,95.0,83.75,94.625,69.104706,12769900
2001-01-04,94.75,99.75,92.6875,93.1875,68.054916,15420500
2001-01-05,93.9375,94.6875,91.0,94.0,68.648277,8043200
2001-01-08,93.5,93.9375,91.5625,93.5625,68.328773,6064800
2001-01-09,94.4375,95.75,91.4375,92.5625,67.59848,7547100
2001-01-10,92.5,94.9375,91.6875,93.4375,68.237488,7656100
2001-01-11,92.9375,94.25,91.25,93.6875,68.420059,9635000
2001-01-12,93.6875,96.4375,92.375,93.8125,68.511345,6448000
2001-01-16,93.75,94.0,91.8125,92.75,67.735413,5671900
2001-01-17,95.375,97.75,94.3125,96.6875,70.610947,9727000
2001-01-18,104.375,110.0,103.5,108.3125,79.100708,25244900
2001-01-19,107.5,113.9375,107.25,111.25,81.246002,14762200
2001-01-22,109.5,109.9375,108.1875,108.5625,79.283325,9618500
2001-01-23,109.5625,109.9375,107.625,109.0625,79.648415,9826900
2001-01-24,109.0625,111.4375,108.9375,110.4375,80.652596,6760900
2001-01-25,110.125,111.125,109.4375,110.75,80.880814,4982100
2001-01-26,109.625,115.25,109.1875,114.1875,83.391212,9095200
2001-01-29,112.5,115.5,112.470001,114.980003,83.970016,5125000
2001-01-30,115.0,116.75,113.400002,116.610001,85.160385,8242000
2001-01-31,115.75,116.75,112.0,112.0,81.793663,8314200
2001-02-01,112.400002,114.339996,111.199997,114.050003,83.290825,5580800
2001-02-02,112.75,113.989998,109.599998,110.269997,80.530251,5428400
2001-02-05,109.400002,112.599998,109.300003,112.220001,81.954346,5113700
2001-02-06,112.230003,115.690002,111.199997,114.190002,83.393051,7526400
2001-02-07,113.400002,117.599998,112.669998,116.910004,85.476768,9006900
2001-02-08,116.910004,118.199997,114.029999,114.099998,83.422302,8380800
2001-02-09,114.029999,114.989998,111.0,112.0,81.886909,6318800
2001-02-12,110.550003,115.720001,110.300003,114.900002,84.007217,6729300
2001-02-13,114.150002,117.379997,113.07,113.75,83.166397,7193200
2001-02-14,113.75,116.169998,112.5,115.099998,84.153473,7032900
2001-02-15,116.800003,118.639999,116.379997,116.779999,85.381729,8098700
2001-02-16,114.550003,115.75,113.940002,115.0,84.080338,7073000
2001-02-20,114.550003,115.599998,110.779999,111.5,81.521324,6748300
2001-02-21,109.550003,111.5,107.290001,107.510002,78.604141,9156900
2001-02-22,106.5,110.900002,103.379997,108.900002,79.620422,11709000
2001-02-23,107.5,107.5,100.25,104.0,76.037888,15276600
2001-02-26,105.800003,105.800003,101.830002,105.300003,76.98835,8344100
2001-02-27,104.900002,106.870003,102.559998,102.589996,75.006996,9787900
2001-02-28,102.949997,103.540001,99.099998,99.900002,73.040215,11933200
2001-03-01,99.300003,106.400002,97.5,106.050003,77.536697,15102000
2001-03-02,104.0,107.650002,100.940002,102.300003,74.794952,14745500
2001-03-05,102.809998,105.599998,102.639999,104.910004,76.703194,6743900
2001-03-06,106.25,108.400002,105.25,106.0,77.50013,8120000
2001-03-07,107.449997,108.25,105.660004,107.550003,78.633377,7788900
2001-03-08,107.169998,107.339996,105.370003,106.470001,77.84375,6793600
2001-03-09,105.0,105.010002,97.900002,99.290001,72.594215,16688100
2001-03-12,97.900002,98.400002,95.019997,95.489998,69.815933,14494800
2001-03-13,95.099998,98.440002,94.199997,98.389999,71.936211,12127900
2001-03-14,95.400002,98.900002,93.339996,94.959999,69.428413,14246600
2001-03-15,96.0,97.870003,95.169998,95.559998,69.867111,8420000
2001-03-16,93.900002,93.900002,88.199997,90.099998,65.875099,20029400
2001-03-19,91.0,92.800003,89.199997,92.599998,67.702927,10235500
2001-03-20,91.599998,92.029999,88.099998,88.300003,64.559059,10101100
2001-03-21,88.449997,91.599998,87.75,89.080002,65.129349,11013000
2001-03-22,89.120003,91.0,87.650002,89.099998,65.143974,13328200
2001-03-23,93.5,94.989998,90.290001,93.510002,68.368294,12233600
2001-03-26,95.25,95.660004,93.75,95.400002,69.750122,8581200
2001-03-27,94.0,100.0,93.970001,99.5,72.747772,11851200
2001-03-28,97.900002,98.449997,94.25,94.410004,69.026283,11890500
2001-03-29,94.459999,97.07,94.260002,95.040001,69.486908,10553700
